10-20 11:13:09.147   24748-24748   C01706/RsFrameReportExt         pid-24748             I     RsFrameReportExt:[Init] dlopen libframe_ui_intf.so success!
10-20 11:13:09.147   24748-24748   C01706/ueaClient-RmeCoreSched   pid-24748             E     [Init]: do not enabled!ret: -1
10-20 11:13:09.147   24748-24748   C01706/ueaClient-FrameMsgMgr    pid-24748             I     [Init]:inited success!
10-20 11:13:09.147   24748-24748   C01706/ueaClient-FrameUiIntf    pid-24748             I     [Init]:ret:1, inited:1
10-20 11:13:09.153   24748-24748   C04217/WMSAttribute             pid-24748             I     [] InitWaterfallMode(3328): winId: 35
10-20 11:13:09.153   24748-24748   C04217/WMSAttribute             pid-24748             I     [] NotifyWaterfallModeChange(3361): winId: 35, waterfall: 0, stat: 2
10-20 11:13:09.153   24748-24748   C0420a/WMSLife                  pid-24748             I     [] NotifyAfterDidForeground(3756): reason: 4
10-20 11:13:09.153   24748-24748   C0420a/WMSLife                  pid-24748             I     [] Show(1467): Window show success [name:harmony0, id:35, type:1]
10-20 11:13:09.153   24748-24748   C04200/WMS                      pid-24748             I     [] GetContext(1925): name:harmony0, id:35
10-20 11:13:09.153   24748-24748   C04201/DMS                      pid-24748             W     [] OnDisplayInfoChange(91): not need notify display info, data is not changed.
10-20 11:13:09.153   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.153   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.153   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.153   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.153   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.153   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
