10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             E     [][PackEnhanceConfig:619] CHKPR(enhanceCfg_) is null, return value is -1
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][PackEnhanceConfig] leave
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             E     [][PrintEnhanceConfig:881] CHKPV(enhanceCfg_) is null
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][OnConnected] leave
10-26 10:19:16.143   34465-34465   C02800/org.map...andlerManager  pid-34465             I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-26 10:19:16.143   34465-34465   C02800/org.map...andlerManager  pid-34465             I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-26 10:19:16.143   34465-34465   C02800/org.map...andlerManager  pid-34465             I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-26 10:19:16.143   34465-34465   C02800/org.map...andlerManager  pid-34465             I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-26 10:19:16.144   34465-34465   C02800/org.map...ony/MMIClient  pid-34465             I     [][StartEventRunner:121] Create event handler, thread name:OS_mmi_EventHdr
10-26 10:19:16.144   34465-34465   C02800/org.map...ony/MMIClient  pid-34465             I     [][AddFdListener:158] Server was listening
10-26 10:19:16.144   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][SetWindowInputEventConsumer] leave
10-26 10:19:16.144   34465-34465   C0420C/org.map...mony/WMSEvent  pid-34465             I     [] AddInputWindow(143): SetWindowInputEventConsumer success, wid:410
10-26 10:19:16.144   34465-34465   C04200/org.map...etonContainer  pid-34465             E     (82)GetSingleton: can not get OHOS::Rosen::WindowInfoReporter
10-26 10:19:16.144   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             E     [ui_ability.cpp:267]appRecovery not recovery restart
10-26 10:19:16.144   34465-34465   A00000/org.map...rmony/testTag  pid-34465             I     Ability onWindowStageCreate
10-26 10:19:16.144   34465-34465   C04200/org.map...JsWindowStage  pid-34465             I     (87)LoadContent: [NAPI]
10-26 10:19:16.144   34465-34605   C02800/org.map...ony/MMIClient  pid-34465             I     [][SetScheduler:109] enter
10-26 10:19:16.145   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [js_ui_ability.cpp:1408]end, name: onWindowStageCreate, time: 0
10-26 10:19:16.145   34465-34465   C04202/org.map...rmony/WMSMain  pid-34465             I     [] GoForeground(159): reason: 0
10-26 10:19:16.145   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] Show(1186): Window show [name: harmony0, id: 410, type: 1], reason: 0, state:1, requestState:1
10-26 10:19:16.145   34465-34465   C04201/org.map...isplayManager  pid-34465             W     (634)GetDisplayById: update display from cache, Id: 0
10-26 10:19:16.145   34465-34465   C04201/org.map...isplayManager  pid-34465             W     (634)GetDisplayById: update display from cache, Id: 0
10-26 10:19:16.145   34465-34605   C02800/org.map...ony/MMIClient  pid-34465             I     [][SetScheduler] leave
10-26 10:19:16.145   34465-34465   C04200/org.map...neSessionImpl  pid-34465             I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-26 10:19:16.145   34465-34465   C04208/org.map...ony/WMSLayout  pid-34465             I     [] UpdateNewSize(4274): Fullscreen window could not update new size, winId: 410
10-26 10:19:16.146   34465-34465   C04217/org.mapl...WMSAttribute  pid-34465             I     [] IsSystemDensityChanged(5034): windowId: 410, lastDensity: -1.000000, currDensity: 3.250000
10-26 10:19:16.146   34465-34465   C04201/org.map...isplayManager  pid-34465             W     (634)GetDisplayById: update display from cache, Id: 0
10-26 10:19:16.146   34465-34465   C04208/org.map...ony/WMSLayout  pid-34465             I     [] UpdateViewportConfig(1214): [rotation,deviceRotation,transformHint,virtualPixelRatio]:[0,0,0,3.250000]
10-26 10:19:16.146   34465-34465   C04200/org.map...owSessionImpl  pid-34465             W     (1219)UpdateViewportConfig: uiContent is null!
10-26 10:19:16.146   34465-34465   C04200/org.map...neSessionImpl  pid-34465             I     (4596)UpdateDensityInner: WindowSceneSessionImpl::UpdateDensity [0, 0, 1216, 2688]
10-26 10:19:16.146   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [ui_ability_impl.cpp:434]Lifecycle:Call
10-26 10:19:16.146   34465-34465   C01406/org.map...mony/OHOS::RS  pid-34465             I     RSFrameRateLinker::Create id: 148026047856641
10-26 10:19:16.148   34465-34465   C01706/org.map...rameReportExt  pid-34465             I     RsFrameReportExt:[LoadLibrary] load library success!
10-26 10:19:16.148   34465-34465   C01706/org.map...rameReportExt  pid-34465             I     RsFrameReportExt:[Init] dlopen libframe_ui_intf.so success!
10-26 10:19:16.149   34465-34584   C04207/org.map...mony/WMSFocus  pid-34465             I     [] UpdateFocus(1069): Report update focus: 1, id: 410
10-26 10:19:16.149   34465-34465   C01706/org.map...t-FrameUiIntf  pid-34465             I     [Init]:ret:1, inited:1
10-26 10:19:16.149   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] Show(1254): Window show success [name:harmony0, id:410, type:1]
10-26 10:19:16.149   34465-34465   C04201/org.map...e.harmony/DMS  pid-34465             W     [] OnDisplayInfoChange(91): not need notify display info, data is not changed.
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.150   34465-34465   A00000/org.map...rmony/testTag  pid-34465             I     Ability onForeground
