10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   A00000/org.map...rmony/testTag  org.maplibre.harmony  I     Ability onCreate
10-21 17:51:31.700   52749-52749   A00000/org.map...rmony/testTag  org.maplibre.harmony  I     Cleaning up global state
10-21 17:51:31.700   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [js_ui_ability.cpp:1408]end, name: onCreate, time: 0
10-21 17:51:31.700   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  E     [ui_ability_impl.cpp:296]hasSaveData_: false
10-21 17:51:31.700   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  W     [js_ui_ability.cpp:863]formatRegex: []
10-21 17:51:31.700   52749-52749   C04202/org.map...rmony/WMSMain  org.maplibre.harmony  I     [] Init(93): WindowScene with window session!
10-21 17:51:31.700   52749-52749   C04202/org.map...rmony/WMSMain  org.maplibre.harmony  I     [] Init(103): set isModuleAbilityHookEnd
10-21 17:51:31.701   52749-52749   C01406/org.map...mony/OHOS::RS  org.maplibre.harmony  I     RSLogManager init log flag: 0x0(0)
10-21 17:51:31.702   52749-52749   C01406/org.map...mony/OHOS::RS  org.maplibre.harmony  I     RSFrameRateLinker::Create id: 226555229896704
10-21 17:51:31.702   52749-52749   C04202/org.map...rmony/WMSMain  org.maplibre.harmony  I     [] VsyncStation(53): id 226555229896705 created
10-21 17:51:31.702   52749-52749   C04200/org.map...neSessionImpl  org.maplibre.harmony  I     (133)WindowSceneSessionImpl: [WMSCom] Constructor
10-21 17:51:31.702   52749-52749   C04200/org.map...e.harmony/WMS  org.maplibre.harmony  E     [] SetWindowType(1855): set window type permission denied!
10-21 17:51:31.702   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] Create(620): Window Create name:harmony0, state:0, windowmode:0
10-21 17:51:31.704   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] SetDefaultDisplayIdIfNeed(478): Called
10-21 17:51:31.704   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] Create(637): SetIsAbilityHookOff 0
10-21 17:51:31.704   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  W     [] IsWindowSessionInvalid(361): already destroyed or not created! id: 0 state_: 0
10-21 17:51:31.704   52749-52749   C04200/org.map...neSessionImpl  org.maplibre.harmony  W     (3882)[WMSCom]AdjustWindowAnimationFlag failed since session invalid!
10-21 17:51:31.704   52749-52749   C04200/org.map...neSessionImpl  org.maplibre.harmony  I     (642)Remove window flag WINDOW_FLAG_SHOW_WHEN_LOCKED
10-21 17:51:31.704   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] Connect(497): Called
10-21 17:51:31.704   52749-52988   C0421D/org.map...y/WMSRotation  org.maplibre.harmony  I     [] SetCurrentRotation(4824): currentRotation: 0
10-21 17:51:31.705   52749-52988   C04208/org.map...ony/WMSLayout  org.maplibre.harmony  I     [] UpdateRect(767): [0 0 1216 2688], preRect:[0 0 0 0], reason:0, hasRSTransaction:0,duration:400, [name:harmony0, id:0]
10-21 17:51:31.706   52749-52988   C04208/org.map...ony/WMSLayout  org.maplibre.harmony  W     [] NotifySingleHandTransformChange(4505): id:0, uiContent is nullptr
10-21 17:51:31.706   52749-52749   C04208/org.map...ony/WMSLayout  org.maplibre.harmony  I     [] Connect(281): updateRect when connect.preRect:[0,0,1216,2688]rect:[0,0,1216,2688]
10-21 17:51:31.706   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] Connect(515): Window Connect [name:harmony0, id:46, type:1], ret:0
10-21 17:51:31.707   52749-52749   C0420A/org.map...rmony/WMSLife  org.maplibre.harmony  I     [] MakeSubOrDialogWindowDragableAndMoveble(278): Called 46.
10-21 17:51:31.707   52749-53016   C02D13/org.map...rmony/HDC_LOG  org.maplibre.harmony  I     connect success cfd:62
10-21 17:51:31.707   52749-53016   C02D13/org.map...rmony/HDC_LOG  org.maplibre.harmony  I     Send2Jdwp send pid:52749, pp:org.maplibre.harmony, isDebug:1, msglen:32
10-21 17:51:31.707   52749-52749   C04201/org.map...isplayManager  org.maplibre.harmony  W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:51:31.708   52749-52749   C04200/org.map...neSessionImpl  org.maplibre.harmony  I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-21 17:51:31.708   52749-52749   C04208/org.map...ony/WMSLayout  org.maplibre.harmony  I     [] GetConfigurationFromAbilityInfo(961): winId: 46, windowModeSupportType: 15
10-21 17:51:31.708   52749-52749   C0420F/org.map...ny/WMSRecover  org.maplibre.harmony  I     [] RegisterSessionRecoverCallbackFunc(328): persistentId = 46
10-21 17:51:31.708   52749-52749   C04209/org.map...rmony/WMSImms  org.maplibre.harmony  I     [] UpdateDefaultStatusBarColor(721): winId: 46, type: 1, hasDarkRes: 0, colorMode: light
10-21 17:51:31.708   52749-52749   C04209/org.map...rmony/WMSImms  org.maplibre.harmony  I     [] SetSpecificBarProperty(2255): windowId:46 harmony0 type:2108, 1 ffffff ff000000 0 4
10-21 17:51:31.708   52749-52749   C04200/org.map...e.harmony/WMS  org.maplibre.harmony  I     [] IsMainHandlerAvailable(369): id:46, isAvailable:1
10-21 17:51:31.708   52749-52749   C04200/org.map...e.harmony/WMS  org.maplibre.harmony  I     [] IsMainHandlerAvailable(369): id:46, isAvailable:1
10-21 17:51:31.709   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][SetWindowInputEventConsumer:342] enter
10-21 17:51:31.709   52749-52749   C02801/org.map...tConnectProxy  org.maplibre.harmony  I     [][MultimodalInputConnectProxy:98] Construct MMI proxy
10-21 17:51:31.709   52749-52749   C02801/org.map...onnectManager  org.maplibre.harmony  I     [][ConnectMultimodalInputService:546] Get multimodalinput service successful
10-21 17:51:31.710   52749-52749   C02800/org.map...ony/MMIClient  org.maplibre.harmony  I     [][OnConnected:256] Connection to server succeeded, fd:67
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][OnConnected:1492] enter
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][ReAddInputEventFilter:1662] enter
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][ReAddInputEventFilter] leave
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][PackEnhanceConfig:618] enter
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  E     [][PackEnhanceConfig:619] CHKPR(enhanceCfg_) is null, return value is -1
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][PackEnhanceConfig] leave
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  E     [][PrintEnhanceConfig:881] CHKPV(enhanceCfg_) is null
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][OnConnected] leave
10-21 17:51:31.710   52749-52749   C02800/org.map...andlerManager  org.maplibre.harmony  I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-21 17:51:31.710   52749-52749   C02800/org.map...andlerManager  org.maplibre.harmony  I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-21 17:51:31.710   52749-52749   C02800/org.map...andlerManager  org.maplibre.harmony  I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-21 17:51:31.710   52749-52749   C02800/org.map...andlerManager  org.maplibre.harmony  I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-21 17:51:31.710   52749-52749   C02800/org.map...ony/MMIClient  org.maplibre.harmony  I     [][StartEventRunner:121] Create event handler, thread name:OS_mmi_EventHdr
10-21 17:51:31.710   52749-52749   C02800/org.map...ony/MMIClient  org.maplibre.harmony  I     [][AddFdListener:158] Server was listening
10-21 17:51:31.710   52749-52749   C02800/org.map...utManagerImpl  org.maplibre.harmony  I     [][SetWindowInputEventConsumer] leave
10-21 17:51:31.710   52749-52749   C0420C/org.map...mony/WMSEvent  org.maplibre.harmony  I     [] AddInputWindow(143): SetWindowInputEventConsumer success, wid:46
10-21 17:51:31.710   52749-52749   C04200/org.map...etonContainer  org.maplibre.harmony  E     (82)GetSingleton: can not get OHOS::Rosen::WindowInfoReporter
10-21 17:51:31.711   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  E     [ui_ability.cpp:267]appRecovery not recovery restart
